batch_order,filename,category,size_kb
1,8.2.2.12 Hold Tag.xlsx,defect_tracking,11.3
2,8.2.2.13 Hold For Review.xlsx,defect_tracking,11.2
3,8.2.2.15 Rework- To Be Sanded.xlsx,defect_tracking,11.2
4,8.2.2.1.16 Oven Verification Log.xls,process_control,137.5
5,8.2.2.1.2 Paint Kitchen Temp Log.xls,process_control,146.5
6,8.2.2.23 Paint Mix Information Sheet.xlsx,process_control,23.1
7,8.2.2.24 Pressure Pot Label.xlsx,process_control,12.7
8,8.2.2.26 New Paint Batch Verification.xlsx,process_control,23.8
9,8.2.2.1.18 Daily Paint Tally Sheet.xls,production_tracking,213.5
10,8.2.2.1.5 101-103 Daily Load Sheet.xlsx,production_tracking,21.0
11,8.2.2.2.1 102 Line Paint Production Tracking.xlsx,production_tracking,23.3
12,8.2.2.29 Daily Production Report Template.xlsx,production_tracking,20.5
13,8.2.2.31 Daily Hummer Sanding Tally Sheet.xlsx,production_tracking,18.6
14,8.2.2.7 Daily Sanding Tally Sheet.xlsx,production_tracking,18.3
15,8.2.2.8 Daily Buffing Tally Sheet.xlsx,production_tracking,28.0
16,8.2.2.9 Daily Deburring Tally Sheet.xlsx,production_tracking,18.0
17,8.2.2.25 Solvent Usage Tracking.xlsx,lab_chemistry,20.7
18,8.2.2.5 Paint Kitchen Inventory.xlsx,lab_chemistry,65.8
19,8.2.2.1.1 101-103 Weekly Rack Burn Off Tracker.xlsx,maintenance,47.3
20,8.2.2.1.19 Line 103 Paint Pot Lines Cleaning Chart.xlsx,maintenance,16.0
21,8.2.2.1.20 Line 101 Paint Pot Lines Cleaning Chart.xlsx,maintenance,16.7
22,8.2.2.1.3 Daily Paint Booth Cleaning Schedule.xlsx,maintenance,17.6
23,8.2.2.1.4 Monthly Paint Booth Cleaning Schedule.xlsx,maintenance,18.8
24,8.2.2.2.10 102 Maintenance Log.xlsx,maintenance,18.2
25,8.2.2.2.8 Line 102 Robot Operator Maintenance.xlsx,maintenance,16.6
26,8.2.2.2.9 102 TPM Checklist.xlsx,maintenance,15.6
27,8.2.2.32 Dustless Sander Maintenance Check Sheet.xlsx,maintenance,18.3
28,8.2.2.34 Sanding Booth Cleaning and Maintenance.xlsx,maintenance,56.6
29,8.2.2.17 Booth Sludge.xlsx,waste_management,10.8
30,8.2.2.18 Empty.xlsx,waste_management,10.8
31,8.2.2.19 Still Bottoms.xlsx,waste_management,10.8
32,8.2.2.20 Waste Paint.xlsx,waste_management,10.8
33,8.2.2.21 Waste Zinc.xlsx,waste_management,10.9
34,8.2.2.1.10 Daily Painter Line Up.xlsx,scheduling,3288.4
35,8.2.2.1.11 103 Schedule Template.xlsx,scheduling,92.4
36,8.2.2.1.6 101 Schedule Template.xlsx,scheduling,93.1
37,8.2.2.1.7 Daily Painter Schedule.xlsx,scheduling,21.2
38,8.2.2.2.3 102 Line Paint Schedule Template.xlsx,scheduling,104.9
39,8.2.2.10 Sanded- Ready For Paint(Orange).xlsx,labels_tags,11.3
40,8.2.2.11 Finished GoodsPartial.xlsx,labels_tags,11.2
41,8.2.2.14 Partial Raw.xlsx,labels_tags,11.2
42,8.2.2.16 To Be Buffed.xlsx,labels_tags,11.2
43,8.2.2.2.17 Approved Tag Tracking.xlsx,labels_tags,3297.3
44,8.2.2.22 Use Next.xlsx,labels_tags,10.9
45,8.2.2.2.6 Line 102 Programs.xlsx,document_control,13.6
46,8.2.2.27 Template.xlsx,document_control,18.8
47,8.2.2.28 Down time Tracking Template.xlsx,document_control,100.1
48,8.2.2.30 Buffing Summary Template.xlsx,document_control,173.2
49,8.2.2.6 Change Tracker.xlsx,document_control,41.4
50,8.2.2.1.9 Daily Down Time.xlsx,downtime,40.8
51,8.2.2.2.4 102 Line Loaded Parts Tracking.xlsx,other,24.1
52,8.2.2.2.7 102 Line Operating Form.xlsm,other,52.5
53,8.2.2.33 Plant 2 Paint Trial Information Sheet.xlsx,other,17.7
